"assembly_barcode","source_type","species","ST"
"ESC_FC8927AA_AS","Human","Escherichia coli",131
"ESC_FC8932AA_AS","Human","Escherichia coli",131
"ESC_FC8945AA_AS","Human","Escherichia coli",131
"ESC_FC8952AA_AS","Human","Escherichia coli",131
"ESC_FC8958AA_AS","Human","Escherichia coli",131
"ESC_FC8980AA_AS","Human","Escherichia coli",131
"ESC_FC9026AA_AS","Human","Escherichia coli",131
"ESC_FC9042AA_AS","Human","Escherichia coli",131
"ESC_FC9067AA_AS","Human","Escherichia coli",131
"ESC_FC9072AA_AS","Human","Escherichia coli",131
"ESC_FC9073AA_AS","Human","Escherichia coli",131
"ESC_FC9074AA_AS","Human","Escherichia coli",131
"ESC_FC9076AA_AS","Human","Escherichia coli",131
"ESC_FC9078AA_AS","Human","Escherichia coli",131
"ESC_FC9081AA_AS","Human","Escherichia coli",131
"ESC_FC9082AA_AS","Human","Escherichia coli",131
"ESC_FC9083AA_AS","Human","Escherichia coli",131
"ESC_FC9084AA_AS","Human","Escherichia coli",131
"ESC_FC9086AA_AS","Human","Escherichia coli",131
"ESC_FC9087AA_AS","Human","Escherichia coli",131
"ESC_FC9091AA_AS","Human","Escherichia coli",131
"ESC_FC9093AA_AS","Human","Escherichia coli",131
"ESC_FC9096AA_AS","Human","Escherichia coli",131
"ESC_FC9097AA_AS","Human","Escherichia coli",131
"ESC_FC9101AA_AS","Human","Escherichia coli",131
"ESC_FC9107AA_AS","Human","Escherichia coli",131
"ESC_FC9109AA_AS","Human","Escherichia coli",131
"ESC_FC9116AA_AS","Human","Escherichia coli",131
"ESC_FC9121AA_AS","Human","Escherichia coli",131
"ESC_FC9135AA_AS","Human","Escherichia coli",131
"ESC_FC9136AA_AS","Human","Escherichia coli",131
"ESC_FC9153AA_AS","Human","Escherichia coli",131
"ESC_FC9160AA_AS","Human","Escherichia coli",131
"ESC_FC9172AA_AS","Human","Escherichia coli",131
"ESC_FC9182AA_AS","Human","Escherichia coli",131
"ESC_FC9183AA_AS","Human","Escherichia coli",131
"ESC_FC9189AA_AS","Human","Escherichia coli",131
"ESC_FC9192AA_AS","Human","Escherichia coli",131
"ESC_FC9210AA_AS","Human","Escherichia coli",131
"ESC_FC9226AA_AS","Human","Escherichia coli",131
"ESC_FC9277AA_AS","Human","Escherichia coli",131
"ESC_FC9288AA_AS","Human","Escherichia coli",131
